,Ad Group,Keyword,Campaign,Criterion Type
0,sofas,sofas buy,SEM_Sofas,Exact
1,sofas,buy sofas,SEM_Sofas,Exact
2,sofas,sofas prices,SEM_Sofas,Exact
3,sofas,prices sofas,SEM_Sofas,Exact
4,sofas,sofas discount,SEM_Sofas,Exact
5,sofas,discount sofas,SEM_Sofas,Exact
6,sofas,sofas low-cost,SEM_Sofas,Exact
7,sofas,low-cost sofas,SEM_Sofas,Exact
8,sofas,sofas promotion,SEM_Sofas,Exact
9,sofas,promotion sofas,SEM_Sofas,Exact
10,sofas,sofas budget,SEM_Sofas,Exact
11,sofas,budget sofas,SEM_Sofas,Exact
12,convertible sofas,convertible sofas buy,SEM_Sofas,Exact
13,convertible sofas,buy convertible sofas,SEM_Sofas,Exact
14,convertible sofas,convertible sofas prices,SEM_Sofas,Exact
15,convertible sofas,prices convertible sofas,SEM_Sofas,Exact
16,convertible sofas,convertible sofas discount,SEM_Sofas,Exact
17,convertible sofas,discount convertible sofas,SEM_Sofas,Exact
18,convertible sofas,convertible sofas low-cost,SEM_Sofas,Exact
19,convertible sofas,low-cost convertible sofas,SEM_Sofas,Exact
20,convertible sofas,convertible sofas promotion,SEM_Sofas,Exact
21,convertible sofas,promotion convertible sofas,SEM_Sofas,Exact
22,convertible sofas,convertible sofas budget,SEM_Sofas,Exact
23,convertible sofas,budget convertible sofas,SEM_Sofas,Exact
24,love seats,love seats buy,SEM_Sofas,Exact
25,love seats,buy love seats,SEM_Sofas,Exact
26,love seats,love seats prices,SEM_Sofas,Exact
27,love seats,prices love seats,SEM_Sofas,Exact
28,love seats,love seats discount,SEM_Sofas,Exact
29,love seats,discount love seats,SEM_Sofas,Exact
30,love seats,love seats low-cost,SEM_Sofas,Exact
31,love seats,low-cost love seats,SEM_Sofas,Exact
32,love seats,love seats promotion,SEM_Sofas,Exact
33,love seats,promotion love seats,SEM_Sofas,Exact
34,love seats,love seats budget,SEM_Sofas,Exact
35,love seats,budget love seats,SEM_Sofas,Exact
36,recliners,recliners buy,SEM_Sofas,Exact
37,recliners,buy recliners,SEM_Sofas,Exact
38,recliners,recliners prices,SEM_Sofas,Exact
39,recliners,prices recliners,SEM_Sofas,Exact
40,recliners,recliners discount,SEM_Sofas,Exact
41,recliners,discount recliners,SEM_Sofas,Exact
42,recliners,recliners low-cost,SEM_Sofas,Exact
43,recliners,low-cost recliners,SEM_Sofas,Exact
44,recliners,recliners promotion,SEM_Sofas,Exact
45,recliners,promotion recliners,SEM_Sofas,Exact
46,recliners,recliners budget,SEM_Sofas,Exact
47,recliners,budget recliners,SEM_Sofas,Exact
48,sofa beds,sofa beds buy,SEM_Sofas,Exact
49,sofa beds,buy sofa beds,SEM_Sofas,Exact
50,sofa beds,sofa beds prices,SEM_Sofas,Exact
51,sofa beds,prices sofa beds,SEM_Sofas,Exact
52,sofa beds,sofa beds discount,SEM_Sofas,Exact
53,sofa beds,discount sofa beds,SEM_Sofas,Exact
54,sofa beds,sofa beds low-cost,SEM_Sofas,Exact
55,sofa beds,low-cost sofa beds,SEM_Sofas,Exact
56,sofa beds,sofa beds promotion,SEM_Sofas,Exact
57,sofa beds,promotion sofa beds,SEM_Sofas,Exact
58,sofa beds,sofa beds budget,SEM_Sofas,Exact
59,sofa beds,budget sofa beds,SEM_Sofas,Exact
